id,code,name,parent_id:id,sequence
event_type_evt_conference,EVT_CONFERENCE,Congrès conférences et rencontres,,10
event_type_conference,CONFERENCE,Conférence,egp_master_data.event_type_evt_conference,10
event_type_convention,CONVENTION,Convention,egp_master_data.event_type_evt_conference,20
event_type_congress,CONGRESS,Congrès,egp_master_data.event_type_evt_conference,30
event_type_seminar,SEMINAR,Séminaire,egp_master_data.event_type_evt_conference,40
event_type_study_day,STUDY_DAY,Journée d'étude,egp_master_data.event_type_evt_conference,50
event_type_meeting,MEETING,Réunion,egp_master_data.event_type_evt_conference,60
event_type_general_assembly,GENERAL_ASSEMBLY,Assemblée générale,egp_master_data.event_type_evt_conference,70
event_type_training,TRAINING,Formation,egp_master_data.event_type_evt_conference,80
event_type_workshop,WORKSHOP,Workshop,egp_master_data.event_type_evt_conference,90
event_type_evt_tradeshow,EVT_TRADESHOW,Salons & expositions,,20
event_type_trade_show,TRADE_SHOW,Salon,egp_master_data.event_type_evt_tradeshow,10
event_type_forum,FORUM,Forum,egp_master_data.event_type_evt_tradeshow,20
event_type_exhibition,EXHIBITION,Exposition,egp_master_data.event_type_evt_tradeshow,30
event_type_job_dating,JOB_DATING,Job dating,egp_master_data.event_type_evt_tradeshow,40
event_type_showroom,SHOWROOM,Showroom,egp_master_data.event_type_evt_tradeshow,50
event_type_evt_reception,EVT_RECEPTION,Réceptions & événements festifs,,30
event_type_cocktail,COCKTAIL,Cocktail,egp_master_data.event_type_evt_reception,10
event_type_party,PARTY,Soirée,egp_master_data.event_type_evt_reception,20
event_type_afterwork,AFTERWORK,Afterwork,egp_master_data.event_type_evt_reception,30
event_type_gala,GALA,Gala,egp_master_data.event_type_evt_reception,40
event_type_ceremony,CEREMONY,Cérémonie,egp_master_data.event_type_evt_reception,50
event_type_new_year_greetings,NEW_YEAR_GREETINGS,Vœux,egp_master_data.event_type_evt_reception,60
event_type_awards,AWARDS,Remise de prix,egp_master_data.event_type_evt_reception,70
event_type_evt_show,EVT_SHOW,Spectacles & événements,,40
event_type_concert,CONCERT,Concert,egp_master_data.event_type_evt_show,10
event_type_show,SHOW,Spectacle,egp_master_data.event_type_evt_show,20
event_type_theater,THEATER,Théâtre,egp_master_data.event_type_evt_show,30
event_type_standup,STANDUP,Stand-up,egp_master_data.event_type_evt_show,40
event_type_festival,FESTIVAL,Festival,egp_master_data.event_type_evt_show,50
event_type_showcase,SHOWCASE,Showcase,egp_master_data.event_type_evt_show,60
event_type_fashion_show,FASHION_SHOW,Défilé,egp_master_data.event_type_evt_show,70
event_type_evt_audiovisual,EVT_AUDIOVISUAL,Audiovisuel & production,,50
event_type_filming,FILMING,Tournage,egp_master_data.event_type_evt_audiovisual,10
event_type_recording,RECORDING,Captation,egp_master_data.event_type_evt_audiovisual,20
event_type_photo_shoot,PHOTO_SHOOT,Shooting,egp_master_data.event_type_evt_audiovisual,30
event_type_broadcast,BROADCAST,Émission / Streaming,egp_master_data.event_type_evt_audiovisual,40
event_type_rehearsal,REHEARSAL,Répétition,egp_master_data.event_type_evt_audiovisual,50
event_type_artistic_residency,ARTISTIC_RESIDENCY,Résidence artistique,egp_master_data.event_type_evt_audiovisual,60
event_type_technical_residency,TECHNICAL_RESIDENCY,Résidence technique,egp_master_data.event_type_evt_audiovisual,70
event_type_evt_education,EVT_EDUCATION,Éducation & enseignement,,60
event_type_graduation,GRADUATION,Remise de diplômes,egp_master_data.event_type_evt_education,10
event_type_competitive_exam,COMPETITIVE_EXAM,Concours,egp_master_data.event_type_evt_education,20
event_type_exam,EXAM,Examen,egp_master_data.event_type_evt_education,30
event_type_student_ceremony,STUDENT_CEREMONY,Cérémonie étudiante,egp_master_data.event_type_evt_education,40
event_type_student_forum,STUDENT_FORUM,Forum étudiant,egp_master_data.event_type_evt_education,50
event_type_student_party,STUDENT_PARTY,Soirée étudiante,egp_master_data.event_type_evt_education,60
event_type_evt_institutional,EVT_INSTITUTIONAL,Institutionnel & citoyen,,70
event_type_election,ELECTION,Élection,egp_master_data.event_type_evt_institutional,10
event_type_public_meeting,PUBLIC_MEETING,Réunion publique,egp_master_data.event_type_evt_institutional,20
